PheCode,Names,Short_names,Category_code,Category,Full_Category
365,Glaucoma,Glaucoma,7,sense organs,diseases of the sense organs
681,Superficial cellulitis and abscess,Superficial cellulitis & abscess,13,dermatologic,diseases of the skin and subcutaneous tissue
198.7,Secondary malignant neoplasm of skin,Secondary malignant neoplasm of skin,2,neoplasms,neoplasms
292.5,Transient alteration of awareness,Transient alteration of awareness,5,mental disorders,mental disorders
756.3,"Congenital anomalies of muscle, tendon, fascia, and connective tissue","Congenital anomalies of muscle, tendon, fascia, and connective tissue",15,congenital anomalies,congenital anomalies
283.1,Autoimmune hemolytic anemias,Autoimmune hemolytic anemias,4,hematopoietic,diseases of the blood and blood-forming organs
668,Complications of the administration of anesthetic or other sedation in labor and delivery,Complications of the administration of anesthetic or other sedation in labor and delivery,,,
241.1,Nontoxic uninodular goiter,Nontoxic uninodular goiter,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
278,"Overweight, obesity and other hyperalimentation",Overweight,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
364.2,Corneal edema,Corneal edema,7,sense organs,diseases of the sense organs
427.8,Sinoatrial node dysfunction (Bradycardia),Sinoatrial node dysfunction,8,circulatory system,diseases of the circulatory system
465.2,Acute pharyngitis,Acute pharyngitis,9,respiratory,diseases of the respiratory system
656.7,Conditions involving the integument and temperature regulation of fetus and newborn,Conditions involving the integument & temperature regulation of fetus & newborn,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
198.2,Secondary malignancy of respiratory organs,Secondary malignancy of lung,2,neoplasms,neoplasms
426.32,Left bundle branch block,Left bundle branch block,8,circulatory system,diseases of the circulatory system
433.1,Occlusion and stenosis of precerebral arteries,Occlusion and stenosis of precerebral arteries,8,circulatory system,diseases of the circulatory system
986,Toxic effect of carbon monoxide,Toxic effect of carbon monoxide,18,injuries & poisonings,injury and poisoning
225.2,"Benign neoplasm of spinal cord, meninges","Benign neoplasm of spinal cord, meninges",2,neoplasms,neoplasms
348.4,Cerebral cysts,Cerebral cysts,6,neurological,diseases of the nervous system
580.13,"Acute glomerulonephritis, NOS","Acute glomerulonephritis, NOS",11,genitourinary,diseases of the genitourinary system
994.1,Systemic inflammatory response syndrome (SIRS),Systemic inflammatory response syndrome,18,injuries & poisonings,injury and poisoning
625.1,Dyspareunia,Dyspareunia,11,genitourinary,diseases of the genitourinary system
277.4,Disorders of bilirubin excretion,Hyperbilirubinemia,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
443.9,"Peripheral vascular disease, unspecified",Peripheral arterial disease,8,circulatory system,diseases of the circulatory system
656.2,Respiratory conditions of fetus and newborn,Other respiratory conditions of fetus and newborn,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
261,Vitamin deficiency,Vitamin deficiency,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
150,Cancer of esophagus,Esophageal cancer,2,neoplasms,neoplasms
596,Other disorders of bladder,Other disorders of bladder,11,genitourinary,diseases of the genitourinary system
721.2,Spondylosis with myelopathy,Spondylosis with myelopathy,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
750.14,Congenital anomalies of esophagus,Congenital anomalies of esophagus,15,congenital anomalies,congenital anomalies
1015,Effects of other external causes,Effects of other external causes,,,
793,Nonspecific abnormal findings on radiological and other examination of musculoskeletal system,Nonspecific abnormal findings on radiological and other examination of musculoskeletal system,,,
253.7,Other disorders of neurohypophysis,Disorders of neurohypophysis,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
270.12,Phenylketonuria [PKU],PKU,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
362.6,Peripheral retinal degenerations,Peripheral retinal degenerations,7,sense organs,diseases of the sense organs
513.3,Hypoventilation,Hypoventilation,9,respiratory,diseases of the respiratory system
594.1,Calculus of kidney,Calculus of kidney,11,genitourinary,diseases of the genitourinary system
742,"Derangement of joint, non-traumatic","Derangement of joint, non-traumatic",14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
755.4,"Congenital anomalies of upper limb, including shoulder girdle","Congenital anomalies of upper limb, including shoulder girdle",15,congenital anomalies,congenital anomalies
368.2,Diplopia and disorders of binocular vision,Diplopia and disorders of binocular vision,7,sense organs,diseases of the sense organs
521.1,Dental caries,Dental caries,10,digestive,diseases of the digestive system
216.1,Screening for malignant neoplasms of the skin,Screening for malignant neoplasms of the skin,2,neoplasms,neoplasms
361.2,Retinoschisis and retinal cysts,Retinoschisis and retinal cysts,7,sense organs,diseases of the sense organs
425.12,Other hypertrophic cardiomyopathy,Other hypertrophic cardiomyopathy,8,circulatory system,diseases of the circulatory system
327.32,Obstructive sleep apnea,Obstructive sleep apnea,6,neurological,diseases of the nervous system
425,Cardiomyopathy,Cardiomyopathy,8,circulatory system,diseases of the circulatory system
495.11,Chronic obstructive asthma with exacerbation,Chronic obstructive asthma with exacerbation,9,respiratory,diseases of the respiratory system
506,Empyema and pneumothorax,Empyema and pneumothorax,9,respiratory,diseases of the respiratory system
614.3,Pelvic inflammatory disease (PID),Pelvic inflammatory disease,11,genitourinary,diseases of the genitourinary system
850,Hemorrhage or hematoma complicating a procedure,Hemorrhage or hematoma complicating a procedure,18,injuries & poisonings,injury and poisoning
136,Other infectious and parasitic diseases,Other infectious diseases,1,infectious diseases,infectious and parasitic diseases
164,Cancer of intrathoracic organs,Cancer of intrathoracic organs,2,neoplasms,neoplasms
614.54,Abscess or ulceration of vulva,Abscess or ulceration of vulva,11,genitourinary,diseases of the genitourinary system
381.1,Otitis media,Otitis media,7,sense organs,diseases of the sense organs
634.3,Ectopic pregnancy,Ectopic pregnancy,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
819,Skull and face fracture and other intercranial injury,Skull fracture and other intercranial injury,18,injuries & poisonings,injury and poisoning
964.1,Anticoagulants causing adverse effects,Anticoagulants causing adverse effects,18,injuries & poisonings,injury and poisoning
585.33,"Chronic Kidney Disease, Stage III","Chronic Kidney Disease, Stage III",11,genitourinary,diseases of the genitourinary system
610.2,Fibroadenosis of breast,Fibroadenosis of breast,11,genitourinary,diseases of the genitourinary system
260.6,Anorexia,Anorexia,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
509,"Respiratory failure, insufficiency, arrest",Respiratory failure; insufficiency; arrest,9,respiratory,diseases of the respiratory system
687.1,Rash and other nonspecific skin eruption,Rash and other nonspecific skin eruption,13,dermatologic,diseases of the skin and subcutaneous tissue
733.9,Chondromalacia,Chondromalacia,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
369.2,"Eye infection, viral","Eye infection, viral",7,sense organs,diseases of the sense organs
426.25,Other heart block,Other heart block,8,circulatory system,diseases of the circulatory system
586.2,"Cyst of kidney, acquired","Cyst of kidney, acquired",11,genitourinary,diseases of the genitourinary system
609.2,Abnormal spermatozoa,Abnormal spermatozoa,11,genitourinary,diseases of the genitourinary system
626.15,"Infertility, female, associated with anovulation","Infertility, female, associated with anovulation",11,genitourinary,diseases of the genitourinary system
371.9,Chronic inflammatory disorders of orbit,Chronic inflammatory disorders of orbit,7,sense organs,diseases of the sense organs
281.12,Other vitamin B12 deficiency anemia,Vitamin B12 deficiency anemia,4,hematopoietic,diseases of the blood and blood-forming organs
382,Otalgia,Otalgia,7,sense organs,diseases of the sense organs
535.9,"Gastritis and duodenitis, NOS","Gastritis and duodenitis, NOS",10,digestive,diseases of the digestive system
695.3,Rosacea,Rosacea,13,dermatologic,diseases of the skin and subcutaneous tissue
790,Nonspecific findings on examination of blood,Nonspecific findings on examination of blood,17,symptoms,"symptoms, signs, and ill-defined conditions"
173,Neoplasm of uncertain behavior of skin,Skin neoplasm of uncertain behavior,2,neoplasms,neoplasms
293,Symptoms involving head and neck,Symptoms involving head and neck,5,mental disorders,mental disorders
364.5,Corneal dystrophy,Corneal dystrophy,7,sense organs,diseases of the sense organs
612.1,Galactorrhea,Galactorrhea,11,genitourinary,diseases of the genitourinary system
642.1,Preeclampsia and eclampsia,Preeclampsia and eclampsia,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
706.3,Seborrhea,Seborrhea,13,dermatologic,diseases of the skin and subcutaneous tissue
614.52,Vaginitis and vulvovaginitis,Vaginitis and vulvovaginitis,11,genitourinary,diseases of the genitourinary system
728.71,Contracture of palmar fascia [Dupuytren's disease],Dupuytren's disease,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
747.12,Valvular heart disease/ heart chambers,Valvular heart disease/ heart chambers,15,congenital anomalies,congenital anomalies
651,Multiple gestation,Multiple gestation,,,
79.1,Varicella infection,Varicella infection,1,infectious diseases,infectious and parasitic diseases
588,Disorders resulting from impaired renal function,Disorders resulting from impaired renal function,11,genitourinary,diseases of the genitourinary system
622.1,Polyp of corpus uteri,Polyp of corpus uteri,11,genitourinary,diseases of the genitourinary system
715.2,Ankylosing spondylitis,Ankylosing spondylitis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
994,Sepsis and SIRS,Sepsis and SIRS,18,injuries & poisonings,injury and poisoning
292.2,Mild cognitive impairment,Mild cognitive impairment,5,mental disorders,mental disorders
376,Disorders of the orbit,Disorders of the orbit,7,sense organs,diseases of the sense organs
379.1,Scleritis and episcleritis,Scleritis and episcleritis,7,sense organs,diseases of the sense organs
772.6,Facial weakness,Facial weakness,17,symptoms,"symptoms, signs, and ill-defined conditions"
225,Benign neoplasm of brain and other parts of nervous system,Benign neoplasm of brain and other parts of nervous system,2,neoplasms,neoplasms
261.3,Vitamin C deficiencies,Vitamin C deficiencies,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
290.16,Vascular dementia,Vascular dementia,5,mental disorders,mental disorders
555,Inflammatory bowel disease and other gastroenteritis and colitis,Inflammatory bowel disease,10,digestive,diseases of the digestive system
707.2,Chronic ulcer of leg or foot,Chronic ulcer of leg or foot,13,dermatologic,diseases of the skin and subcutaneous tissue
149.2,Cancer of nasopharynx,Cancer of nasopharynx,2,neoplasms,neoplasms
427.6,Premature beats,Premature beats,8,circulatory system,diseases of the circulatory system
531.3,Duodenal ulcer,Duodenal ulcer,10,digestive,diseases of the digestive system
592.3,Urethral stricture due to infecton,Urethral stricture due to infecton,11,genitourinary,diseases of the genitourinary system
315.1,Learning disorder,Learning disorder,5,mental disorders,mental disorders
698,Pruritus and related conditions,Pruritus and related conditions,13,dermatologic,diseases of the skin and subcutaneous tissue
208,Benign neoplasm of colon,Benign neoplasm of colon,2,neoplasms,neoplasms
275.51,Hypocalcemia,Hypocalcemia,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
440,Atherosclerosis,Atherosclerosis,8,circulatory system,diseases of the circulatory system
526.5,Inflammatory conditions of jaw,Inflammatory conditions of jaw,10,digestive,diseases of the digestive system
1004,Other signs and symptoms involving emotional state,Other signs and symptoms involving emotional state,,,
41.8,H. pylori,H. pylori,1,infectious diseases,infectious and parasitic diseases
288.2,Elevated white blood cell count,Elevated white blood cell count,4,hematopoietic,diseases of the blood and blood-forming organs
290.13,Senile dementia,Senile dementia,5,mental disorders,mental disorders
358.1,Myasthenia gravis,Myasthenia gravis,6,neurological,diseases of the nervous system
470,Septal Deviations/Turbinate Hypertrophy,Deviated nasal septum,9,respiratory,diseases of the respiratory system
200.1,Polycythemia vera,Polycythemia vera,2,neoplasms,neoplasms
284.2,Constitutional aplastic anemia,Constitutional aplastic anemia,4,hematopoietic,diseases of the blood and blood-forming organs
411.41,Aneurysm and dissection of heart,Aneurysm and dissection of heart,8,circulatory system,diseases of the circulatory system
733,Other disorders of bone and cartilage,Other disorders of bone and cartilage,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
375.2,Epiphora,Epiphora,7,sense organs,diseases of the sense organs
550.4,Umbilical hernia,Umbilical hernia,10,digestive,diseases of the digestive system
453,Chronic venous hypertension,Chronic venous hypertension,8,circulatory system,diseases of the circulatory system
556.11,Angiodysplasia of intestine (without mention of hemorrhage),Angiodysplasia of intestine,10,digestive,diseases of the digestive system
619.1,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament","Noninflammatory disorders of ovary, fallopian tube, & broad ligament",11,genitourinary,diseases of the genitourinary system
773,Pain in limb,Pain in limb,,,
290.11,Alzheimer's disease,Alzheimer's disease,5,mental disorders,mental disorders
401.21,Hypertensive heart disease,Hypertensive heart disease,8,circulatory system,diseases of the circulatory system
427.5,Arrhythmia (cardiac) NOS,Cardiac arrhythmia NOS,8,circulatory system,diseases of the circulatory system
428,Congestive heart failure; nonhypertensive,"Congestive heart failure, nonhypertensive",8,circulatory system,diseases of the circulatory system
524,"Dentofacial anomalies, including malocclusion","Dentofacial anomalies, including malocclusion",10,digestive,diseases of the digestive system
560,Intestinal obstruction without mention of hernia,Intestinal obstruction without mention of hernia,10,digestive,diseases of the digestive system
789.1,Persistent vomiting,Persistent vomiting,17,symptoms,"symptoms, signs, and ill-defined conditions"
117.4,Aspergillosis,Aspergillosis,1,infectious diseases,infectious and parasitic diseases
509.1,Respiratory failure,Respiratory failure,9,respiratory,diseases of the respiratory system
130.1,Lyme disease,Lyme disease,1,infectious diseases,infectious and parasitic diseases
340.1,Migrain with aura,Migrain with aura,6,neurological,diseases of the nervous system
184.11,Malignant neoplasm of ovary,Malignant neoplasm of ovary,2,neoplasms,neoplasms
258,Iatrogenic endocrine disorders,Iatrogenic endocrine disorders,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
350.3,Lack of coordination,Lack of coordination,6,neurological,diseases of the nervous system
427.9,Palpitations,Palpitations,8,circulatory system,diseases of the circulatory system
500.1,Extrinsic allergic alveolitis,Extrinsic allergic alveolitis,9,respiratory,diseases of the respiratory system
580.32,Nephritis and nephropathy with pathological lesion,Nephritis & nephropathy,11,genitourinary,diseases of the genitourinary system
622.2,Mucous polyp of cervix,Mucous polyp of cervix,11,genitourinary,diseases of the genitourinary system
851,Complications of transplants and reattached limbs,Complications of transplants and reattached limbs,18,injuries & poisonings,injury and poisoning
228,"Hemangioma and lymphangioma, any site","Hemangioma and lymphangioma, any site",2,neoplasms,neoplasms
303,Psychogenic and somatoform disorders,Psychogenic and somatoform disorders,5,mental disorders,mental disorders
577.1,Acute pancreatitis,Acute pancreatitis,10,digestive,diseases of the digestive system
781,Symptoms involving nervous and musculoskeletal systems,Symptoms involving nervous and musculoskeletal systems,17,symptoms,"symptoms, signs, and ill-defined conditions"
442.11,Abdominal aortic aneurysm,Abdominal aortic aneurysm,8,circulatory system,diseases of the circulatory system
446,Polyarteritis nodosa and allied conditions,Polyarteritis nodosa and allied conditions,8,circulatory system,diseases of the circulatory system
782.6,Pallor and flushing,Pallor and flushing,17,symptoms,"symptoms, signs, and ill-defined conditions"
962,Poisoning by hormones and synthetic substitutes,Poisoning by hormones and synthetic substitutes,18,injuries & poisonings,injury and poisoning
980,Encounter for long-term (current) use of antibiotics,Encounter for long-term use of antibiotics,1,infectious diseases,infectious and parasitic diseases
345.11,Generalized convulsive epilepsy,Generalized convulsive epilepsy,6,neurological,diseases of the nervous system
574.2,Calculus of bile duct,Calculus of bile duct,10,digestive,diseases of the digestive system
711,Arthropathy associated with infections,Arthropathy associated with infections,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
961.1,Poisoning/allergy of sulfonamides,Sulfonamides,18,injuries & poisonings,injury and poisoning
915,Superficial injury without mention of infection,Superficial injury without mention of infection,,,
367.1,Myopia,Myopia,7,sense organs,diseases of the sense organs
369.5,"Conjunctivitis, infectious","Conjunctivitis, infectious",7,sense organs,diseases of the sense organs
952,Spinal cord injury without evidence of spinal bone injury,Spinal cord injury without evidence of spinal bone injury,18,injuries & poisonings,injury and poisoning
1008,Crushing or internal injury to organs,Crushing or internal injury to organs,,,
312.3,Impulse control disorder,Impulse control disorder,5,mental disorders,mental disorders
368.9,Subjective visual disturbances,Subjective visual disturbances,7,sense organs,diseases of the sense organs
395,Heart valve disorders,Heart valve disorders,8,circulatory system,diseases of the circulatory system
721.1,Spondylosis without myelopathy,Spondylosis without myelopathy,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
772.1,Muscular wasting and disuse atrophy,Muscular wasting and disuse atrophy,17,symptoms,"symptoms, signs, and ill-defined conditions"
218.2,Other benign neoplasm of uterus,Benign neoplasm of uterus,2,neoplasms,neoplasms
278.4,Abnormal weight gain,Abnormal weight gain,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
441,Vascular insufficiency of intestine,Vascular insufficiency of intestine,8,circulatory system,diseases of the circulatory system
598.4,Other cells and casts in urine,Other cells and casts in urine,11,genitourinary,diseases of the genitourinary system
626.1,Irregular menstrual cycle/bleeding,Irregular menstrual cycle/bleeding,11,genitourinary,diseases of the genitourinary system
781.2,Abnormal posture,Abnormal posture,17,symptoms,"symptoms, signs, and ill-defined conditions"
818.1,Subdural hemorrhage (injury),Subdural hemorrhage (injury),18,injuries & poisonings,injury and poisoning
990,Effects radiation NOS,Effects of radiation NOS,18,injuries & poisonings,injury and poisoning
180.1,Cervical cancer,Cervical cancer,2,neoplasms,neoplasms
374.3,Ptosis of eyelid,Ptosis of eyelid,7,sense organs,diseases of the sense organs
523,Gingival and periodontal diseases,Gingival and periodontal diseases,10,digestive,diseases of the digestive system
626.21,Mittelschmerz,Mittelschmerz,11,genitourinary,diseases of the genitourinary system
705,Disorders of sweat glands,Disorders of sweat glands,13,dermatologic,diseases of the skin and subcutaneous tissue
315.3,Mental retardation,Mental retardation,5,mental disorders,mental disorders
503,Pulmonary congestion and hypostasis,Pulmonary congestion and hypostasis,9,respiratory,diseases of the respiratory system
758,Chromosomal anomalies and genetic disorders,Chromosomal anomalies and genetic disorders,15,congenital anomalies,congenital anomalies
117.1,Histoplasmosis,Histoplasmosis,1,infectious diseases,infectious and parasitic diseases
245,Thyroiditis,Thyroiditis,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
276.6,Fluid overload,Fluid overload,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
426.23,Second degree AV block,Second degree AV block,8,circulatory system,diseases of the circulatory system
536.7,"Complications of gastrostomy, colostomy and enterostomy","Complications of gastrostomy, colostomy and enterostomy",10,digestive,diseases of the digestive system
753.2,Congenital anomalies of posterior segment of eye,Congenital anomalies of posterior segment of eye,15,congenital anomalies,congenital anomalies
145,Cancer of mouth,Cancer of mouth,2,neoplasms,neoplasms
654.1,"Abnormality of organs and soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium","Abnormality of organs & soft tissues of pelvis complicating pregnancy, childbirth, or the puerperium",12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
627.1,Postmenopausal bleeding,Postmenopausal bleeding,11,genitourinary,diseases of the genitourinary system
721.8,Other allied disorders of spine,Other allied disorders of spine,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
750.22,"Congenital anomaly of gallbladder, bile ducts, liver, pancreas","Congenital anomaly of gallbladder, bile ducts, liver, pancreas",15,congenital anomalies,congenital anomalies
803.1,Fracture of humerus,Fracture of humerus,18,injuries & poisonings,injury and poisoning
976,"Poisoning by agents primarily affecting skin & mucous membrane, ophthalmological, otorhinolaryngological, & dental drugs",Poisoning by agents affecting skin & mucous membrane,18,injuries & poisonings,injury and poisoning
149.3,Cancer of hypopharynx,Cancer of hypopharynx,2,neoplasms,neoplasms
209,Neuroendocrine tumors,Neuroendocrine tumors,2,neoplasms,neoplasms
286.2,Encounter for long-term (current) use of anticoagulants,Long-term use of anticoagulants,4,hematopoietic,diseases of the blood and blood-forming organs
695.81,Erythema nodosum,Erythema nodosum,13,dermatologic,diseases of the skin and subcutaneous tissue
155,Cancer of liver and intrahepatic bile duct,Hepatic cancer,2,neoplasms,neoplasms
509.5,Respiratory arrest,Respiratory arrest,9,respiratory,diseases of the respiratory system
193,Thyroid cancer,Thyroid cancer,2,neoplasms,neoplasms
254,Diseases of thymus gland,Diseases of thymus gland,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
255.22,Mineralocorticoid deficiency,Mineralocorticoid deficiency,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
362.29,Macular degeneration (senile) of retina NOS,Age-related macular degeneration,7,sense organs,diseases of the sense organs
450,Noninfectious disorders of lymphatic channels,Noninfectious disorders of lymphatic channels,8,circulatory system,diseases of the circulatory system
604,Disorders of penis,Disorders of penis,11,genitourinary,diseases of the genitourinary system
733.6,Costochondritis,Costochondritis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
442.3,Aneurysm of artery of lower extremity,Aneurysm of artery of lower extremity,8,circulatory system,diseases of the circulatory system
711.1,Pyogenic arthritis,Pyogenic arthritis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
741.5,Hemarthrosis,Hemarthrosis,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
528.3,Cellulitis and abscess of oral soft tissues,Cellulitis and abscess of oral soft tissues,10,digestive,diseases of the digestive system
702.1,Actinic keratosis,Actinic keratosis,13,dermatologic,diseases of the skin and subcutaneous tissue
743.21,Pathologic fracture of vertebrae,Pathologic fracture of vertebrae,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
1006,Crushing injury,Crushing injury,,,
333.8,Other degenerative diseases of the basal ganglia,Other degenerative diseases of the basal ganglia,6,neurological,diseases of the nervous system
385,Other disorders of middle ear and mastoid,Other disorders of middle ear and mastoid,7,sense organs,diseases of the sense organs
585.2,Renal failure NOS,Renal failure NOS,11,genitourinary,diseases of the genitourinary system
715.3,Spinal enthesopathy,Spinal enthesopathy,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
184,Cancer of other female genital organs,Cancer of other female genital organs,2,neoplasms,neoplasms
261.41,Rickets or osteomalacia,Rickets or osteomalacia,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
362.26,Macular puckering of retina,Macular puckering of retina,7,sense organs,diseases of the sense organs
573.9,Abnormal serum enzyme levels,Abnormal serum enzyme levels,10,digestive,diseases of the digestive system
750,Digestive congenital anomalies,Digestive congenital anomalies,15,congenital anomalies,congenital anomalies
996,Complications peculiar to certain specified procedures,Complications peculiar to certain specified procedures,,,
519.9,Symptoms involving respiratory system and other chest symptoms,Symptoms involving respiratory system,9,respiratory,diseases of the respiratory system
444.2,Embolism and thrombosis of abdominal aorta,Embolism and thrombosis of abdominal aorta,8,circulatory system,diseases of the circulatory system
567,Peritonitis and retroperitoneal infections,Peritonitis and retroperitoneal infections,10,digestive,diseases of the digestive system
614,Inflammatory diseases of female pelvic organs,Inflammatory diseases of female pelvic organs,11,genitourinary,diseases of the genitourinary system
856,Vascular complications of surgery and medical procedures,Vascular complications of surgery and medical procedures,18,injuries & poisonings,injury and poisoning
252.2,Hypoparathyroidism,Hypoparathyroidism,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
259.1,Nonspecific abnormal results of other endocrine function study,Nonspecific abnormal results of other endocrine function study,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
472,Chronic pharyngitis and nasopharyngitis,Chronic pharyngitis and nasopharyngitis,9,respiratory,diseases of the respiratory system
313.2,Tics and stuttering,Tics and stuttering,5,mental disorders,mental disorders
444,Arterial embolism and thrombosis,Arterial embolism and thrombosis,8,circulatory system,diseases of the circulatory system
514,Abnormal findings examination of lungs,Abnormal findings examination of lungs,9,respiratory,diseases of the respiratory system
783.1,Postprocedural fever,Postprocedural fever,17,symptoms,"symptoms, signs, and ill-defined conditions"
278.3,Localized adiposity,Localized adiposity,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
375,Disorders of lacrimal system,Disorders of lacrimal system,7,sense organs,diseases of the sense organs
743,"Osteoporosis, osteopenia and pathological fracture","Osteoporosis, osteopenia, & pathological fractures",14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
561.1,Diarrhea,Diarrhea,,,
187.1,Malignant neoplasm of unspecified male genital organ,Malignant neoplasm of male genital organ,2,neoplasms,neoplasms
260.2,severe protein-calorie malnutrition,Severe protein-calorie malnutrition,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
519.8,"Other diseases of respiratory system, NEC",Other diseases of respiratory system,9,respiratory,diseases of the respiratory system
522.5,Periapical abscess,Periapical abscess,10,digestive,diseases of the digestive system
742.9,Other derangement of joint,Other derangement of joint,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
270.32,Paraproteinemia,Paraproteinemia,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
302.1,Decreased libido,Decreased libido,5,mental disorders,mental disorders
569.1,Toxic gastroenteritis and colitis,Toxic gastroenteritis and colitis,10,digestive,diseases of the digestive system
145.3,Cancer of major salivary glands,Cancer of major salivary glands,2,neoplasms,neoplasms
282.8,Other hemoglobinopathies,Other hemoglobinopathies,4,hematopoietic,diseases of the blood and blood-forming organs
331.9,"Cerebral degeneration, unspecified",Cerebral degeneration,6,neurological,diseases of the nervous system
145.1,Cancer of lip,Cancer of lip,2,neoplasms,neoplasms
323,Encephalitis,Encephalitis,6,neurological,diseases of the nervous system
395.3,Nonrheumatic tricuspid valve disorders,Nonrheumatic tricuspid valve disorders,8,circulatory system,diseases of the circulatory system
569,Other disorders of intestine,Other disorders of intestine,10,digestive,diseases of the digestive system
656.1,Isoimmunization of fetus or newborn,Perinatal jaundice/isoimmunization,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
495.2,Asthma with exacerbation,Asthma with exacerbation,9,respiratory,diseases of the respiratory system
610,Benign mammary dysplasias,Benign mammary dysplasias,11,genitourinary,diseases of the genitourinary system
564.8,Abnormal findings on exam of gastrointestinal tract/ abdominal area,Abnormal findings on exam of gastrointestinal tract/ abdominal area,,,
245.1,"Thyroiditis, acute and subacute","Thyroiditis, acute and subacute",3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
250,Diabetes mellitus,Diabetes mellitus,3,endocrine/metabolic,"endocrine, nutritional and metabolic diseases, and immunity disorders"
425.2,Secondary/extrinsic cardiomyopathies,Secondary/extrinsic cardiomyopathies,8,circulatory system,diseases of the circulatory system
611.11,Mammographic microcalcification,Mammographic microcalcification,11,genitourinary,diseases of the genitourinary system
430.3,Subdural hemorrhage,Subdural hemorrhage,8,circulatory system,diseases of the circulatory system
635.2,"Antepartum hemorrhage, abruptio placentae, and placenta previa","Antepartum hemorrhage, abruptio placentae, and placenta previa",12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
735.21,Hammer toe (acquired),Hammer toe,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
938,Dermatitis due to solar radiation,Photodermatitis & sunburn,18,injuries & poisonings,injury and poisoning
280.1,"Iron deficiency anemias, unspecified or not due to blood loss",Iron deficiency anemias,4,hematopoietic,diseases of the blood and blood-forming organs
601.1,Prostatitis,Prostatitis,11,genitourinary,diseases of the genitourinary system
647.1,Infections of genitourinary tract during pregnancy,Infections of genitourinary tract during pregnancy,12,pregnancy complications,"complications of pregnancy, childbirth, and the puerperium"
198.3,Secondary malignant neoplasm of digestive systems,Secondary malignant neoplasm of digestive systems,2,neoplasms,neoplasms
519.1,Tracheostomy complications,Tracheostomy complications,9,respiratory,diseases of the respiratory system
722.6,Degeneration of intervertebral disc,Degeneration of intervertebral disc,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
716.3,Kaschin-Beck disease,Kaschin-Beck disease,14,musculoskeletal,diseases of the musculoskeletal system and connective tissue
386.9,Dizziness and giddiness (Light-headedness and vertigo),Light-headedness and vertigo,7,sense organs,diseases of the sense organs
